scraped_date,publish_date,title,company,location,contract_type,education_level,experience_level,key_skills,sector,offer_url,source,min_exp,max_exp,min_education,education_rank,latitude,longitude,coordinates
2026-05-08,2026-04-13,Angular Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"BOOTSTRAP, CSS3, CVS, GIT, JAVASCRIPT, JQUERY, LESS, MVC, MYSQL, REST","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/angular-developer-mf-1085931,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Devops Engineer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, APACHE, ARTIFACTORY, AZURE, CVS, DOCKER, DYNATRACE, ECLIPSE, GIT, GITLAB, GROOVY, JAVA, JAVASCRIPT, JBOSS, JENKINS, JIRA, LESS, LINUX, ORACLE, POSTGIS, POSTGRESQL, PYTHON, SCRUM, SHELL, SONARQUBE, WEBLOGIC","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/devops-engineer-mf-1085932,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Dotnet Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"API, ASP, C#, CSS, CVS, DOTNET, FRONT END, HTML, HTTP, LINUX, MVC, MYSQL, NET, QUERY, REST, SOAP, SQL","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/dotnet-developer-mf-1085933,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Ios Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, APP, COCOA, CVS, FOUNDATION, GIT, SWIFT, TMS","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/ios-developer-mf-1085934,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Java Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, API, BOOTSTRAP, CONFLUENCE, CVS, GIT, GRAILS, GROOVY, GWT, HIBERNATE, HTML, JAVA, JAVASCRIPT, JENKINS, JIRA, JQUERY, JSF, MYSQL, ORACLE, REDIS, SPRING, STRUTS","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/java-developer-mf-1085935,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Java Jee Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, ANGULAR JS, AZURE, BIG DATA, CASSANDRA, COUCHBASE, CSS, CVS, DOCKER, GIT, HADOOP, HIBERNATE, HTML, J2EE, JAVA, JAVA JEE, JAVASCRIPT, JBOSS, JENKINS, MAVEN, MVC, MYSQL, NOSQL, ORACLE, REDIS, REST, SOAP, SPARK, SPRING, SQL, STRUTS, WEBLOGIC","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/java-jee-developer-mf-1085936,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Javascript Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"ANGULAR JS, API, BACKBONE JS, CSS, CVS, DOJO, HTML, JAVASCRIPT, JENKINS, JQUERY, MONGODB, ORACLE","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/javascript-developer-mf-1085937,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Kotlin Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, ANDROID, API, APP, AZURE, CVS, DNS, DOCKER, GIT, JAVA, JENKINS, LOAD BALANCING, MAC, MAVEN, MVVM, OPENSTACK, PAAS, SDK, TCP IP, TDD, UDP, XML","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/kotlin-developer-mf-1085938,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Laravel Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AJAX, CODEIGNITER, CSS, CVS, GIT, HTML, JAVASCRIPT, JQUERY, LARAVEL, MARIADB, MVC, MYSQL, NOSQL, QUERY, SOAP, SQL, TFS","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/laravel-developer-mf-1085939,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Node.Js Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"BOOTSTRAP, CSS3, CVS, DOCKER, GIT, JAVASCRIPT, JIRA, JQUERY, JSON, LESS, MONGODB, MVC, MYSQL, NODE JS, NOSQL, POSTGRESQL, REACT, REDIS, REST, SQL, XML","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/nodejs-developer-mf-1085940,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Objective-C Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"ANDROID, APP, COCOA, CSS, CVS, EDGE, GIT, HTML, JAVASCRIPT, JQUERY, JSON, LINUX, MAC, MERCURIAL, OSX, REST, SWIFT, XML","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/objective-c-developer-mf-1085941,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Php Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AJAX, API, CODEIGNITER, CSS3, CVS, GIT, JAVASCRIPT, LARAVEL, MAGENTO, MERCURIAL, MONGODB, MVC, MYSQL, NOSQL, ORACLE, SQL, SYMFONY, XML, ZEND","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/php-developer-mf-1085942,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Python Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, API, CSS, CVS, DJANGO, HTML, PYTHON, SCRUM, SQL, TORNADO","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/python-developer-mf-1085943,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Qa Tester,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, API, APP, CVS, JAVA, MAVEN, MYSQL, SCRUM, SELENIUM, SQL","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/qa-tester-mf-1085944,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,React Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"BOOTSTRAP, CSS, CVS, GIT, JAVA, JAVASCRIPT, JQUERY, LESS, REACT","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/react-developer-mf-1085945,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
2026-05-08,2026-04-13,Ruby On Rails Developer,AFRICASHORE,Dakar,CDI,Bac+3,Expérience entre 5 ans et 10 ans,"AGILE, CSS, CVS, DOCKER, GIT, HTML, JAVASCRIPT, JIRA, JQUERY, MONGODB, MYSQL, POSTGRESQL, RUBY ON RAILS","Informatique, SSII, Internet",https://www.emploisenegal.com/offre-emploi-senegal/ruby-on-rails-developer-mf-1085946,EmploiSénégal,5,10,Bac+3,4,14.7167,-17.4677,"[14.7167, -17.4677]"
